units=u:percent relative humidity;%RH;;;
Rainforest MiscRF1_LowLndHum - Relative humidity [%]
ID, TIMESTAMP, TRENDFLAGS, STATUS, VALUE, TRENDFLAGS_TAG, STATUS_TAG
246949, 2025/09/09 00:00:01, 0, 136, 100.10952758789062, { }, {alarm,unackedAlarm}
246950, 2025/09/09 00:15:01, 0, 136, 100.0528793334961, { }, {alarm,unackedAlarm}
246951, 2025/09/09 00:30:01, 0, 136, 100.12631225585938, { }, {alarm,unackedAlarm}
246952, 2025/09/09 00:45:01, 0, 136, 100.05707550048828, { }, {alarm,unackedAlarm}
246953, 2025/09/09 01:00:01, 0, 136, 100.11162567138672, { }, {alarm,unackedAlarm}
246954, 2025/09/09 01:15:01, 0, 136, 100.07805633544922, { }, {alarm,unackedAlarm}
246955, 2025/09/09 01:30:01, 0, 136, 100.03189849853516, { }, {alarm,unackedAlarm}
246956, 2025/09/09 01:45:02, 0, 136, 100.04029083251953, { }, {alarm,unackedAlarm}
247081, 2025/09/09 02:00:00, 0, 136, 100.07176208496094, { }, {alarm,unackedAlarm}
247082, 2025/09/09 02:15:02, 0, 136, 100.06966400146484, { }, {alarm,unackedAlarm}
247083, 2025/09/09 02:30:01, 0, 136, 100.03189849853516, { }, {alarm,unackedAlarm}
247084, 2025/09/09 02:45:01, 0, 136, 100.0822525024414, { }, {alarm,unackedAlarm}
247085, 2025/09/09 03:00:01, 0, 136, 100.03398895263672, { }, {alarm,unackedAlarm}
247086, 2025/09/09 03:15:01, 0, 136, 100.0822525024414, { }, {alarm,unackedAlarm}
247087, 2025/09/09 03:30:01, 0, 136, 100.05917358398438, { }, {alarm,unackedAlarm}
247088, 2025/09/09 03:45:01, 0, 136, 100.08644104003906, { }, {alarm,unackedAlarm}
247089, 2025/09/09 04:00:01, 0, 136, 100.0759506225586, { }, {alarm,unackedAlarm}
247090, 2025/09/09 04:15:01, 0, 136, 100.09903717041016, { }, {alarm,unackedAlarm}
247091, 2025/09/09 04:30:01, 0, 136, 100.0843505859375, { }, {alarm,unackedAlarm}
