units=u:percent relative humidity;%RH;;;
Rainforest MiscRF1_MntHum - Relative humidity [%]
ID, TIMESTAMP, TRENDFLAGS, STATUS, VALUE, TRENDFLAGS_TAG, STATUS_TAG
255329, 2025/09/09 00:00:01, 0, 128, 92.29188537597656, { }, {unackedAlarm}
255330, 2025/09/09 00:15:01, 0, 128, 93.08917999267578, { }, {unackedAlarm}
255331, 2025/09/09 00:30:01, 0, 128, 94.69844818115234, { }, {unackedAlarm}
255332, 2025/09/09 00:45:01, 0, 128, 95.35725402832031, { }, {unackedAlarm}
255333, 2025/09/09 01:00:01, 0, 136, 95.54818725585938, { }, {alarm,unackedAlarm}
255334, 2025/09/09 01:15:01, 0, 136, 95.71394348144531, { }, {alarm,unackedAlarm}
255335, 2025/09/09 01:30:01, 0, 136, 95.88179016113281, { }, {alarm,unackedAlarm}
255336, 2025/09/09 01:45:02, 0, 136, 96.00138854980469, { }, {alarm,unackedAlarm}
255461, 2025/09/09 02:00:00, 0, 136, 96.07061767578125, { }, {alarm,unackedAlarm}
255462, 2025/09/09 02:15:02, 0, 136, 95.953125, { }, {alarm,unackedAlarm}
255463, 2025/09/09 02:30:01, 0, 136, 95.68037414550781, { }, {alarm,unackedAlarm}
255464, 2025/09/09 02:45:01, 0, 136, 95.58805847167969, { }, {alarm,unackedAlarm}
255465, 2025/09/09 03:00:01, 0, 136, 95.55028533935547, { }, {alarm,unackedAlarm}
255466, 2025/09/09 03:15:01, 0, 136, 95.39083099365234, { }, {alarm,unackedAlarm}
255467, 2025/09/09 03:30:01, 0, 136, 95.1516342163086, { }, {alarm,unackedAlarm}
255468, 2025/09/09 03:45:01, 0, 128, 94.9124526977539, { }, {unackedAlarm}
255469, 2025/09/09 04:00:01, 0, 128, 94.80545043945312, { }, {unackedAlarm}
255470, 2025/09/09 04:15:01, 0, 128, 94.82643127441406, { }, {unackedAlarm}
255471, 2025/09/09 04:30:01, 0, 128, 94.7446060180664, { }, {unackedAlarm}
255472, 2025/09/09 04:45:01, 0, 128, 94.67745971679688, { }, {unackedAlarm}
255473, 2025/09/09 05:00:01, 0, 128, 94.64179229736328, { }, {unackedAlarm}
255474, 2025/09/09 05:15:01, 0, 128, 94.49072265625, { }, {unackedAlarm}
255475, 2025/09/09 05:30:01, 0, 128, 94.42987823486328, { }, {unackedAlarm}
255476, 2025/09/09 05:45:01, 0, 128, 94.37953186035156, { }, {unackedAlarm}
255477, 2025/09/09 06:00:01, 0, 128, 94.41519165039062, { }, {unackedAlarm}
255478, 2025/09/09 06:15:01, 0, 128, 94.36064910888672, { }, {unackedAlarm}
255479, 2025/09/09 06:30:01, 0, 128, 94.6019287109375, { }, {unackedAlarm}
255480, 2025/09/09 06:45:01, 0, 128, 95.44956970214844, { }, {unackedAlarm}
255481, 2025/09/09 07:00:01, 0, 136, 97.05255126953125, { }, {alarm,unackedAlarm}
255482, 2025/09/09 07:15:01, 0, 128, 94.93133544921875, { }, {unackedAlarm}
255483, 2025/09/09 07:30:01, 0, 128, 94.72362518310547, { }, {unackedAlarm}
255484, 2025/09/09 07:45:01, 0, 136, 95.84822082519531, { }, {alarm,unackedAlarm}
255485, 2025/09/09 08:00:01, 0, 136, 96.23636627197266, { }, {alarm,unackedAlarm}
255486, 2025/09/09 08:15:01, 0, 136, 97.38195037841797, { }, {alarm,unackedAlarm}
255487, 2025/09/09 08:30:01, 0, 136, 98.11630249023438, { }, {alarm,unackedAlarm}
255488, 2025/09/09 08:45:01, 0, 136, 98.57998657226562, { }, {alarm,unackedAlarm}
255489, 2025/09/09 09:00:01, 0, 136, 99.44861602783203, { }, {alarm,unackedAlarm}
255490, 2025/09/09 09:15:01, 0, 136, 99.68570709228516, { }, {alarm,unackedAlarm}
255491, 2025/09/09 09:30:01, 0, 136, 100.0759506225586, { }, {alarm,unackedAlarm}
255492, 2025/09/09 09:45:01, 0, 136, 100.17666625976562, { }, {alarm,unackedAlarm}
255493, 2025/09/09 10:00:01, 0, 136, 100.16827392578125, { }, {alarm,unackedAlarm}
255494, 2025/09/09 10:15:01, 0, 136, 100.17456817626953, { }, {alarm,unackedAlarm}
255495, 2025/09/09 10:30:01, 0, 136, 100.16827392578125, { }, {alarm,unackedAlarm}
255496, 2025/09/09 10:45:02, 0, 136, 100.17247009277344, { }, {alarm,unackedAlarm}
255497, 2025/09/09 11:00:01, 0, 136, 100.15568542480469, { }, {alarm,unackedAlarm}
255498, 2025/09/09 11:15:01, 0, 136, 100.16197967529297, { }, {alarm,unackedAlarm}
255499, 2025/09/09 11:30:01, 0, 136, 100.16407775878906, { }, {alarm,unackedAlarm}
255500, 2025/09/09 11:45:01, 0, 136, 99.89131927490234, { }, {alarm,unackedAlarm}
255501, 2025/09/09 12:00:01, 0, 136, 99.05626678466797, { }, {alarm,unackedAlarm}
255502, 2025/09/09 12:15:01, 0, 136, 97.99040985107422, { }, {alarm,unackedAlarm}
255503, 2025/09/09 12:30:01, 0, 136, 97.53931427001953, { }, {alarm,unackedAlarm}
